maand;indexSigaretten;indexTabak;CPI
1/03/2017;119,78;135,12;104,91
1/02/2017;118,17;130,87;104,67
1/01/2017;117,66;130,59;104,28
1/12/2016;117,15;130,41;103,54
1/11/2016;116,96;130,36;103,41
1/10/2016;116,92;130,38;103,34
1/09/2016;116,63;130,28;103,04
1/08/2016;116,51;130,11;103,26
1/07/2016;116,32;130,26;103,31
1/06/2016;116,12;130,27;103,19
1/05/2016;116,10;129,93;103,08
1/04/2016;115,70;129,56;102,75
1/03/2016;115,03;124,74;102,57
1/02/2016;113,59;120,31;101,65
1/01/2016;112,13;119,77;101,59
1/12/2015;112,14;119,69;101,48
1/11/2015;112,13;119,65;101,61
1/10/2015;112,04;119,19;101,50
1/09/2015;111,95;118,92;101,15
1/08/2015;111,90;118,88;101,08
1/07/2015;111,69;118,19;101,01
1/06/2015;111,66;118,07;101,01
1/05/2015;111,57;117,67;100,86
1/04/2015;111,31;117,02;100,70
1/03/2015;110,37;112,8;100,32
1/02/2015;108,51;111,27;100,26
1/01/2015;107,68;110,96;99,85
1/12/2014;107,64;110,96;99,98
1/11/2014;107,64;110,94;100,09
1/10/2014;107,58;110,9;100,22
1/09/2014;107,42;110,75;100,09
1/08/2014;107,35;110,41;100,17
1/07/2014;107,31;110,34;100,55
1/06/2014;107,24;110,22;100,38
1/05/2014;107,00;110;100,30
1/04/2014;106,62;109,66;100,41
1/03/2014;105,37;106,45;100,72
1/02/2014;103,23;104,85;100,66
1/01/2014;102,35;104,53;100,50
1/12/2013;102,38;104,31;100,36
1/11/2013;102,28;104,28;100,20
1/10/2013;101,77;103,82;100,13
1/09/2013;101,37;103,33;100,21
1/08/2013;100,18;101,67;100,15
1/07/2013;99,30;100,29;100,21
1/06/2013;99,20;99,66;100,11
1/05/2013;99,13;98,67;99,94
1/04/2013;98,71;96,15;99,79
1/03/2013;98,60;96,05;99,83
1/02/2013;98,60;95,96;99,69
1/01/2013;98,48;95,8;99,37
1/12/2012;98,46;95,7;99,40
1/11/2012;98,46;95,76;99,39
1/10/2012;98,51;95,2;99,50
1/09/2012;98,40;94,15;99,32
1/08/2012;97,97;92,87;99,15
1/07/2012;97,88;91,93;98,72
1/06/2012;97,57;91,71;98,54
1/05/2012;96,71;91,25;98,77
1/04/2012;94,89;89,42;98,80
1/03/2012;94,57;88,22;98,73
1/02/2012;94,50;88,27;98,52
1/01/2012;94,38;88,45;97,94
1/12/2011;94,38;88,45;97,23
1/11/2011;94,36;88,42;97,19
1/10/2011;94,31;88,37;96,81
1/09/2011;94,30;88,41;96,66
1/08/2011;94,18;88,28;96,40
1/07/2011;94,10;88,22;96,48
1/06/2011;93,89;88,2;96,37
1/05/2011;93,38;88,06;96,07
1/04/2011;92,88;87,73;95,75
1/03/2011;92,82;87,85;95,52
1/02/2011;92,82;88,17;95,04
1/01/2011;92,81;88,17;94,49
1/12/2010;92,81;88,17;93,96
1/11/2010;92,81;88,17;93,59
1/10/2010;92,81;88,17;93,47
1/09/2010;92,81;88,14;93,34
1/08/2010;92,81;88,11;93,05
1/07/2010;92,79;88,05;92,99
1/06/2010;92,72;87,99;92,95
1/05/2010;92,68;87,94;92,96
1/04/2010;91,38;86,81;92,59
1/03/2010;91,17;86,25;92,27
1/02/2010;91,17;86,15;91,93
1/01/2010;91,16;86,15;91,54
1/12/2009;90,87;86,05;91,13
1/11/2009;89,43;85,85;90,98
1/10/2009;89,19;85,9;90,74
1/09/2009;89,17;85,89;90,70
1/08/2009;89,14;85,88;90,94
1/07/2009;89,08;85,87;90,66
1/06/2009;88,98;85,73;90,72
1/05/2009;88,83;85,63;90,89
1/04/2009;88,55;85,44;90,96
1/03/2009;87,76;84,64;90,77
1/02/2009;87,23;84,08;91,29
1/01/2009;87,23;84,08;90,98
1/12/2008;87,22;84,08;90,89
1/11/2008;87,22;84,08;91,09
1/10/2008;87,22;84,08;91,63
1/09/2008;87,22;84,04;91,80
1/08/2008;87,22;84,02;91,65
1/07/2008;87,19;83,95;92,21
1/06/2008;87,17;83,9;91,73
1/05/2008;86,98;83,68;91,23
1/04/2008;86,31;82,47;90,42
1/03/2008;85,08;81,91;90,21
1/02/2008;85,08;81,91;89,56
1/01/2008;85,08;81,91;88,92
1/12/2007;85,07;81,91;88,56
1/11/2007;85,07;81,91;88,32
1/10/2007;85,04;81,89;87,50
1/09/2007;85,00;81,83;87,04
1/08/2007;85,00;81,83;86,96
1/07/2007;84,94;81,53;87,07
1/06/2007;84,93;81,28;86,70
1/05/2007;84,91;81,03;86,71
1/04/2007;83,66;78,41;86,81
1/03/2007;81,37;74,47;86,42
1/02/2007;76,68;72,47;86,41
1/01/2007;76,64;72,47;85,95
1/12/2006;76,62;72,46;85,91
1/11/2006;76,55;72,43;85,79
1/10/2006;76,53;72,39;85,58
1/09/2006;76,30;72,06;85,75
1/08/2006;75,33;71,12;86,00
1/07/2006;75,14;70,66;85,89
1/06/2006;75,14;70,67;85,60
1/05/2006;75,13;70,67;85,61
1/04/2006;75,13;70,67;85,29
1/03/2006;75,13;70,67;84,88
1/02/2006;75,13;70,67;84,91
1/01/2006;75,13;70,67;84,54
